sample,aging_condition,aging_time_day,L0,a0,b0,L,a,b,dietaE
中国画-曙红1,UV,0,34.96,41.16,28.63,34.96,41.16,28.63,0
中国画-曙红1,UV,12,34.96,41.16,28.63,34.29,39.33,27.22,2.405389781
中国画-曙红1,UV,18,34.96,41.16,28.63,34.04,38.82,27.15,2.917601755
中国画-曙红2,UV,0,33.9,38.6,27.44,33.9,38.6,27.44,0
中国画-曙红2,UV,12,33.9,38.6,27.44,33.68,37.79,26.48,1.275186261
中国画-曙红2,UV,18,33.9,38.6,27.44,33.33,37.03,26.45,1.941623032
中国画-曙红3,UV,0,34.16,39.26,27.89,34.16,39.26,27.89,0
中国画-曙红3,UV,12,34.16,39.26,27.89,33.81,38.01,26.44,1.946150046
中国画-曙红3,UV,18,34.16,39.26,27.89,33.32,36.85,26.34,2.98600067
中国画-曙红5,UV,0,34.4,40.08,28.62,34.4,40.08,28.62,0
中国画-曙红5,UV,12,34.4,40.08,28.62,34.41,39.88,27.71,0.931772504
中国画-曙红5,UV,18,34.4,40.08,28.62,33.68,38.21,27.42,2.335658365
中国画-曙红6,UV,0,35.31,41.8,28.8,35.31,41.8,28.8,0
中国画-曙红6,UV,12,35.31,41.8,28.8,35.02,41.07,28.22,0.97642204
中国画-曙红6,UV,18,35.31,41.8,28.8,34.83,40.79,28.4,1.187644728
中国画-曙红7,UV,0,34.1,39.19,27.95,34.1,39.19,27.95,0
中国画-曙红7,UV,12,34.1,39.19,27.95,34.04,38.79,27.03,1.004987562
中国画-曙红7,UV,18,34.1,39.19,27.95,33.82,38.59,27.81,0.676756973
中国画-曙红8,UV,0,34.56,40.4,28.48,34.56,40.4,28.48,0
中国画-曙红8,UV,12,34.56,40.4,28.48,34.46,39.92,27.69,0.929784921
中国画-曙红8,UV,18,34.56,40.4,28.48,34.2,39.36,27.63,1.39057542
中国画-翡翠绿1,UV,0,43.21,-44.87,9.22,43.21,-44.87,9.22,0
中国画-翡翠绿1,UV,12,43.21,-44.87,9.22,43.81,-45.26,8.96,0.761380325
中国画-翡翠绿1,UV,18,43.21,-44.87,9.22,43.77,-45.27,8.88,0.767593642
中国画-翡翠绿1,UV,24,43.21,-44.87,9.22,43.7,-44.36,8.7,0.877838254
中国画-翡翠绿2,UV,0,41.98,-43.13,8.55,41.98,-43.13,8.55,0
中国画-翡翠绿2,UV,12,41.98,-43.13,8.55,42.01,-43.03,8.14,0.423083916
中国画-翡翠绿2,UV,18,41.98,-43.13,8.55,42.11,-44.22,8.59,1.098453458
中国画-翡翠绿2,UV,24,41.98,-43.13,8.55,42.32,-42.13,7.96,1.209834699
中国画-翡翠绿3,UV,0,42.4,-44.8,9.27,42.4,-44.8,9.27,0
中国画-翡翠绿3,UV,12,42.4,-44.8,9.27,41.88,-43.78,8.53,1.363231455
中国画-翡翠绿3,UV,18,42.4,-44.8,9.27,43.08,-45.63,9.05,1.095308176
中国画-翡翠绿3,UV,24,42.4,-44.8,9.27,42.64,-43.68,8.57,1.342385936
中国画-翡翠绿4,UV,0,42.98,-46.03,9.8,42.98,-46.03,9.8,0
中国画-翡翠绿4,UV,12,42.98,-46.03,9.8,42.98,-45.54,9.38,0.645368112
中国画-翡翠绿4,UV,18,42.98,-46.03,9.8,42.98,-45.95,9.45,0.359026461
中国画-翡翠绿4,UV,24,42.98,-46.03,9.8,43.29,-44.92,9.21,1.294720047
中国画-翡翠绿5,UV,0,43.51,-46.04,9.66,43.51,-46.04,9.66,0
中国画-翡翠绿5,UV,12,43.51,-46.04,9.66,43.44,-46.25,9.38,0.356931366
中国画-翡翠绿5,UV,18,43.51,-46.04,9.66,43.85,-46.69,9.41,0.774983871
中国画-翡翠绿5,UV,24,43.51,-46.04,9.66,44.3,-45.53,9.28,1.014199191
中国画-翡翠绿6,UV,0,40.73,-41.69,8.56,40.73,-41.69,8.56,0
中国画-翡翠绿6,UV,12,40.73,-41.69,8.56,40,-40.24,7.91,1.74868522
中国画-翡翠绿6,UV,18,40.73,-41.69,8.56,39.69,-39.89,7.77,2.223892983
中国画-翡翠绿6,UV,24,40.73,-41.69,8.56,40.78,-40.36,7.85,1.508476052
中国画-翡翠绿7,UV,0,43.96,-47.03,9.93,43.96,-47.03,9.93,0
中国画-翡翠绿7,UV,12,43.96,-47.03,9.93,43.8,-46.64,9.45,0.63882705
中国画-翡翠绿7,UV,18,43.96,-47.03,9.93,44.96,-47.84,9.87,1.288293445
中国画-翡翠绿7,UV,24,43.96,-47.03,9.93,43.98,-45.77,9.31,1.404421589
中国画-钴蓝1,UV,0,59.47,-0.25,-31.58,59.47,-0.25,-31.58,0
中国画-钴蓝1,UV,12,59.47,-0.25,-31.58,60.21,-0.39,-30.84,1.055840897
中国画-钴蓝1,UV,18,59.47,-0.25,-31.58,59.46,-0.29,-31.66,0.09
中国画-钴蓝1,UV,24,59.47,-0.25,-31.58,59.64,-0.37,-31.65,0.219544984
中国画-钴蓝2,UV,0,59.29,-0.22,-31.24,59.29,-0.22,-31.24,0
中国画-钴蓝2,UV,12,59.29,-0.22,-31.24,59.55,-0.31,-31.36,0.30016662
中国画-钴蓝2,UV,18,59.29,-0.22,-31.24,59.44,-0.31,-31.3,0.18493242
中国画-钴蓝2,UV,24,59.29,-0.22,-31.24,60.26,-0.67,-30.27,1.443710497
中国画-钴蓝3,UV,0,59.46,-0.21,-31.35,59.46,-0.21,-31.35,0
中国画-钴蓝3,UV,12,59.46,-0.21,-31.35,59.55,-0.29,-31.36,0.12083046
中国画-钴蓝3,UV,18,59.46,-0.21,-31.35,59.97,-0.43,-31.09,0.613269924
中国画-钴蓝3,UV,24,59.46,-0.21,-31.35,60.25,-0.49,-30.88,0.960937043
中国画-钴蓝4,UV,0,59.53,-0.33,-29.78,59.53,-0.33,-29.78,0
中国画-钴蓝4,UV,12,59.53,-0.33,-29.78,59.62,-0.37,-29.77,0.098994949
中国画-钴蓝4,UV,18,59.53,-0.33,-29.78,59.85,-0.48,-29.24,0.645368112
中国画-钴蓝4,UV,24,59.53,-0.33,-29.78,60.05,-0.52,-29.62,0.576281181
中国画-钴蓝5,UV,0,60.34,-0.62,-29.94,60.34,-0.62,-29.94,0
中国画-钴蓝5,UV,12,60.34,-0.62,-29.94,60.86,-0.62,-29.4,0.749666593
中国画-钴蓝5,UV,18,60.34,-0.62,-29.94,60.81,-0.61,-29.47,0.664755594
中国画-钴蓝5,UV,24,60.34,-0.62,-29.94,61.04,-0.59,-29.66,0.754519715
中国画-钴蓝7,UV,0,59.72,-0.35,-30.07,59.72,-0.35,-30.07,0
中国画-钴蓝7,UV,12,59.72,-0.35,-30.07,60.09,-0.32,-30.6,0.647070321
中国画-钴蓝7,UV,18,59.72,-0.35,-30.07,60.06,-0.32,-30.79,0.796806124
中国画-钴蓝7,UV,24,59.72,-0.35,-30.07,60.4,-0.38,-30.46,0.784474346
中国画-钴蓝8,UV,0,59.46,-0.31,-30.13,59.46,-0.31,-30.13,0
中国画-钴蓝8,UV,12,59.46,-0.31,-30.13,59.54,-0.23,-30.56,0.444634682
中国画-钴蓝8,UV,18,59.46,-0.31,-30.13,59.42,-0.25,-30.77,0.644049688
中国画-钴蓝8,UV,24,59.46,-0.31,-30.13,59.71,-0.25,-30.76,0.680441033
